epoch,accuracy,loss,val_accuracy,val_loss
0,0.993971586227417,0.02155262418091297,0.9976825714111328,0.008990218862891197
1,0.9979794025421143,0.008161354809999466,0.9982213973999023,0.006897364743053913
2,0.9982559680938721,0.00682575860992074,0.9984407424926758,0.005766484886407852
3,0.9983453750610352,0.00621357886120677,0.9987125396728516,0.005415028426796198
4,0.9985241889953613,0.005722296889871359,0.9986410140991211,0.005596594884991646
5,0.998551607131958,0.005466861184686422,0.9984407424926758,0.005314544774591923
6,0.998629093170166,0.005324230063706636,0.9986839294433594,0.005045253783464432
7,0.9986445903778076,0.005196358077228069,0.9987030029296875,0.0049107493832707405
8,0.998629093170166,0.005107206292450428,0.9988031387329102,0.004527483135461807
9,0.9986732006072998,0.004909091163426638,0.9986553192138672,0.004557183012366295
10,0.9986720085144043,0.00499724131077528,0.9986839294433594,0.004968075547367334
11,0.998711347579956,0.00488970335572958,0.9987506866455078,0.0044457814656198025
