epoch,accuracy,loss,val_accuracy,val_loss
0,0.7664145827293396,0.9830394387245178,0.8446621894836426,0.7323182821273804
1,0.7664469480514526,0.9437013864517212,0.8446621894836426,0.7288289666175842
2,0.7834535837173462,0.855712354183197,0.8578990697860718,0.6025736927986145
3,0.8301891684532166,0.6365503668785095,0.8734805583953857,0.5091876983642578
4,0.8506466746330261,0.5515391230583191,0.8939122557640076,0.4476400315761566
5,0.8767392635345459,0.4760512113571167,0.898788571357727,0.37851840257644653
6,0.8888342976570129,0.41397330164909363,0.8987417817115784,0.3373745381832123
7,0.8930623531341553,0.37295621633529663,0.8970315456390381,0.31146228313446045
8,0.9037052392959595,0.3454495370388031,0.9048362970352173,0.32222780585289
9,0.906950056552887,0.32579702138900757,0.9303763508796692,0.27244120836257935
10,0.911503255367279,0.3108595907688141,0.9315271377563477,0.26327913999557495
11,0.914257824420929,0.29930397868156433,0.9379884004592896,0.25666186213493347
12,0.9173256754875183,0.28884780406951904,0.939288854598999,0.25263673067092896
13,0.9195780158042908,0.278997540473938,0.9341486692428589,0.24432611465454102
14,0.9209808111190796,0.2711990773677826,0.9405107498168945,0.24071092903614044
15,0.9220823049545288,0.2659386992454529,0.938742458820343,0.23579363524913788
16,0.9227088093757629,0.26198312640190125,0.916774570941925,0.25165361166000366
17,0.9238749742507935,0.2581058144569397,0.938740611076355,0.23126669228076935
18,0.9247891902923584,0.2549581825733185,0.937501847743988,0.2298421412706375
19,0.9254471659660339,0.25162288546562195,0.9373764991760254,0.22904445230960846
